Cargo,Local,Empresa,Descrição,Rating
CIENTISTA DE DADOS PLENO,"São Paulo, SP",TransUnion,"
Experiência em manuseio de banco de dados (big data).
Desenvolver modelos analíticos preditivos para todos os segmentos.
Sr Analyst, Data Science and Analytics.
Postado há 17 dias·","3,8"
CIENTISTA DE DADOS PL,"São Paulo, SP",Porto Seguro,"
A área é responsável por liderar o uso de dados e a aplicação de soluções de Inteligência Artificial na empresa.
Estes serão explorados no processo seletivo).
Postado há 2 dias·","4,5"
CIENTISTA DE DADOS MACHINE LEARNING JÚNIOR (REMOTO),"Home office in Belo Horizonte, MG",GeekHunter,"
Implantar os modelos de machine learning desenvolvidos pelos cientistas de dados;
Graduando(a) ou graduação concluída em Ciência da Computação, Engenharias,…
Postado há 30+ dias·",Sem informacao
CIENTISTA DE DADOS SÊNIOR,"São Paulo, SP+1 local",EY,"
Experiência no uso de banco de dados (ex.: Oracle, SQL Server, MySQL, PostgreSQL, Azure SQL, MariaDB e Neo4J);
Ensino superior completo em Exatas;
Postado há 3 dias·","4,0"
CIENTISTA DE DADOS/ENGENHEIRO MACHINE LEARNING,Home office,Indra,"
Para MLOps, o profissional poderá atuar desde as etapas de preparação dos dados à otimização dos códigos desenvolvidos;
Sólido conhecimento em SQL e Python;
Postado há 30+ dias·","3,8"
CIENTISTA DE DADOS III | PRODUTOS DIGITAIS E CANAIS PAGOS,+1 localHome office,Globo,"
Traduzir os dados em insights estratégicos;
Os seus dados pessoais serão utilizados para fins de seleção de candidatos para preenchimento das vagas abertas na…
Postado há 30+ dias·","3,5"
CIENTISTA DE DADOS - CRM,"São Paulo, SP",Electrolux,"
Conhecimento de extração, manipulação e análise de dados através de SQL e Python;
Dessa forma, você vai identificar, analisar e interpretar tendências e padrões…
Postado há 4 dias·","3,8"
CIENTISTA DE DADOS SÊNIOR,"Hybrid remote in Maringá, PR",Trade Technology,"
Nosso cientista de dados vai criar modelos e produtos.
Vaga CLT - modelo Híbrido para Maringá-PR.
Repassar demandas para equipe de Devs, interagindo com o time…
Postado há 30+ dias·",Sem informacao
CIENTISTA DE DADOS SQL,"Home office in Barueri, SP",GeekHunter,ATIVIDADES O que você irá fazer? Responsável condução do time de monitoria de qualidade de dados sendo ponto focal dessa área e trabalhar junto aos times de…Postado há 28 dias·,Sem informacao
CIENTISTA DE DADOS,+1 localHome office,Mollica RH,"
Conhecimento de gerenciadores de Banco de dados Oracle, SQL.
Conhecimentos da plataforma AZURE e recursos analíticos disponíveis.
Postado há 30+ dias·",Sem informacao
CIENTISTA DE DADOS - PLENO (TEMPORÁRIO),"Home office temporário in Curitiba, PR+1 local",EWAVE DO BRASIL,"
Domínio de SQL para manipulação de dados em nuvem;
Conhecimento em ferramentas de visualização de dados (preferencialmente Data Studio);
Postado há 4 dias·","4,0"
CIENTISTA DE DADOS,"São Paulo, SP",EY,"
Conhecimento técnico de infraestruturas de dados (bancos de dados relacionais, não relacionais, etc.) e Big Data.
Conhecimento em tecnologias para IA;
Postado há 30+ dias·","4,0"
CIENTISTA DE DADOS,"Salvador, BA",THS TECNOLOGIA INFORMAÇÃO E COMUNICAÇÃO,"
 Experiência mínima de dois anos na área de ciência de dados;
Experiência comprovada em ao menos três dos seguintes conhecimentos técnicos:  Conhecimento em…
Postado há 30+ dias·",Sem informacao
CIENTISTA DE DADOS,"Leme, SP",Robert Half,"
Conhecimento das técnicas e conceitos para análise e exploração de dados;
Conhecimento em R ou Python;
Postado há 30+ dias·","3,9"
CIENTISTA DE DADOS JR,"São Paulo, SP",Centro de Excelência Votorantim BR,"
Buscamos por cientistas de dados para integrar o time do Centro de Excelência Votorantim na área de Data Analytics.
Banco de Dados e SQL;
Postado há 21 dias·",Sem informacao
CIENTISTA DE DADOS,"São Paulo, SP",Incluir Dá Certo - Vagas para Profissionais com...,"
Empresa no segmento de consultoria em tecnologia, busca *profissionais com deficiência (PCD)* para integrar seu time de Ciência de dados.
EmployerAtiva 21 dias atrás·",Sem informacao
CIENTISTA DE DADOS SÊNIOR,"São Paulo, SP",Keyrus Brazil,"
Interessado por desafios, com o desejo de fazer parte da construção de uma nova área com uma nova e disruptiva oferta para o mercado Latam de ciência de dados.
Postado há 30+ dias·",Sem informacao
CIENTISTA DE DADOS | ANALISTA SÊNIOR PCD,"São Paulo, SP",Banco Next,"
Banco de dados, modelagem de dados e padrões de arquitetura (relacional, noSQL, armazenamento, ETL, ingestão de dados, pipeline...);
Postado há 20 dias·",Sem informacao
CIENTISTA DE DADOS SÊNIOR (PARA CRÉDITO),Home office,Cora Bank,"
Sabemos que empreendedorismo é, sobretudo, uma via de desenvolvimento econômico.
Interagir com diferentes times da Cora para identificar oportunidades e…
Postado há 30+ dias·",Sem informacao
CIENTISTA DE DADOS (SÊNIOR),Home office,Propz,"
Aqui levamos os dados a sério.
Conhecimento em sistemas de processamento de dados de forma paralela e distribuída (Spark).
Day-off no seu aniversário;
Postado há 30+ dias·",Sem informacao
CIENTISTA DE DADOS,"Rio de Janeiro, RJ",CASA&VIDEO,"
Vivência em analisar dados desestruturados (data munging), Data Ingestion, Web Scrapping, ambientes de Big Data, Containers e APIs;
Postado há 30+ dias·","4,0"
CIENTISTA DE DADOS,"Jaraguá do Sul, SC",Grupo Malwee,"
Manipular bases de dados SQL e NOSQL.
Programar em Python, R e outros algoritmos/modelos estatísticos.
Elaborar algoritmos web crawler/scraping, inteligência…
Postado há 30+ dias·","4,2"
CIENTISTA DE DADOS PL (VAGA AFIRMATIVA PARA MULHERES),"Home office in São Paulo, SP",SBF - Vagas Tecnologia,"
Desenvolver modelo de previsão usando dados;
Estabelecer processos para que os modelos se tornem produtos de dados.
Ensino superior completo em áreas exatas;
Postado há 30+ dias·",Sem informacao
CIENTISTA DE DADOS,"Manaus, AM+1 local",INSTITUTO DE PESQUISAS ELDORADO,"
Análise de dados de usuários de comércio eletrônico e celular; Interação com tempo forte de Cientista de dados e Engenheiros de Machine Learning; Criar modelos…
Postado há 11 dias·","4,5"
CIENTISTA DE DADOS,"São Paulo, SP",Curriculum.com.br,"
Criar análises de áreas de influência; Analisar e transformar os dados para criação de modelos; Transformar os dados em formatos de atributo valor para DW,…
Postado há 14 dias·","4,1"
CIENTISTA DE DADOS SR,"Brasília, DF",Digisystem,"
Responsável desde o processo de concepção do problema até sua solução, interpretando grandes conjuntos de dados complexos e encontrando ideias e padrões nestes.
Postado há 30+ dias·","3,7"
CIENTISTA DE DADOS PLENO,"Brasília, DF",Qualificar,"
Experiência em suporte a gestão de negócios; Experiência com SQL Server e PostgreSQL; Experiência com desenvolvimento de aplicações na GCP; e Experiência em…
EmployerAtiva 6 dias atrás·",Sem informacao
CIENTISTA DE DADOS,"Jaguariúna, SP",Stefanini,"
✓ Conhecimento de manipulação de banco dados através de linguagem SQL.
✓ Ser o ponto focal do time de CRM (Squads) para acompanhamento de métricas de clientes…
Postado há 30+ dias·","3,8"
CIENTISTA DE DADOS MACHINE LEARNING PLENO,"Home office in São Paulo, SP",GeekHunter,"
Utilização de dados em nuvem para análises e geração de insights, em especial dentro do contexto de marketing digital;
O que você irá fazer?
Postado há 26 dias·",Sem informacao
CIENTISTA DE DADOS - CENTRO,"Iguatu, CE",Jobbol,"Empresa admite Cientista de Dados em Iguatu (Centro) para atuar em Tempo integral, Comercial. Analisar dados estatísticos dos bancos de dados da empresa.…Postado há 19 dias·",Sem informacao
CIENTISTA DE DADOS SENIOR,"Brasília, DF",Qualificar,"
Experiência em análise de dados e em suporte a gestão de negócios; Experiência com SQL Server e PostgreSQL; Experiência no desenvolvimento de aplicações na GCP;…
EmployerAtiva 20 dias atrás·",Sem informacao
CIENTISTA DE DADOS - PLENO,"Hortolândia, SP",IBM,"
Compreensão de tecnologias de banco de dados, estruturas de dados e SQL.
Como Cientista de dados na IBM, você ajudará a transformar os dados de nossos clientes…
Postado há 12 dias·","3,9"
CIENTISTA DE DADOS PLENO/SÊNIOR,Home office,LogComex,"
Fazer análises estatísticas que garantam a relevância dos dados;
Otimizar modelos de machine learning para serem aplicados em grandes volumes de dados;
Postado há 30+ dias·",Sem informacao
