Cargo,Local,Empresa,Descrição,Rating
ANALISTA DE DADOS (BI) JR,"Contagem, MG+1 local",J&T Express Brasil,"
Identificar, analisar e interpretar tendências ou padrões em conjuntos de dados complexos;
Desenvolver e implementar análises de dados, entendendo fatores que…
Postado há 6 dias·",Sem informacao
ANALISTA DE DADOS (ASSISTENTE),"Home office in São Paulo, SP",EDC Uni & Smart,"
Vivência na área de dados;
Preparação e manuseio (modelagem) de dados em diferentes fontes;
Compartilhar e suportar as melhores práticas de visualização de…
Postado há 30+ dias·",Sem informacao
ANALISTA DE DADOS PLENO,"Osasco, SP",LET'S - Logística e Distribuição,"
Análise, estudo e enriquecimento da nossa base de dados;
Trabalhamos com diversos projetos diferentes utilizando dados para solucionar problemas de distribuição…
Postado há 10 dias·",Sem informacao
ANALISTA DE DADOS JÚNIOR (INDICADORES E FOLLOW-UP),"São Paulo, SP",Duratex,"
O nascimento da Hydra é marcado pela Inovação.
Experiência com SAP módulo MM (desejável);
Postado há 3 dias·","4,5"
ANALISTA DE DADOS JR,"São Paulo, SP",Grhats Consultoria em Recursos Humanos,"
Experiência na área de análise de dados.
Ensino superior completo em Matemática ou Estatística, ou Física ou Engenharias ou Ciência da Computação;
Postado há 11 dias·",Sem informacao
ANALISTA DE DADOS (BI),"Belo Horizonte, MG",TANGARÁ FOODS IMPORTADORA E EXPORTADORA S/A,"
Realizar através de técnicas consistentes o tratamento de grande volume de dados;
Atuação anterior com criações de Dash no Power BI e com tratamento de dados…
EmployerAtiva 14 dias atrás·",Sem informacao
ANALISTA DE DADOS PLENO | PERFORMANCE E INSIGHTS,Home office,Globo,"
Os seus dados pessoais serão utilizados para fins de seleção de candidatos para preenchimento das vagas abertas na Globo.
Postado há 11 dias·","3,5"
ANALISTA DE DADOS (BI - DATA ANALYTICS),Home office,Tem talento? Me mostre o que tem.,"
Estamos em busca de um analista de dados(data analytics) para compor o nosso time.
Bons conhecimentos técnicos de arquitetura de dados, diferentes estruturas de…
Postado há 30+ dias·",Sem informacao
ANALISTA DE DADOS SQL (REMOTO),"Home office in Rio de Janeiro, RJ",GeekHunter,"
Ensino superior cursando ou completo em Administração, Economia, Marketing / Publicidade ou semelhantes.
Há cerca de 5 anos criou uma área de inovação Digital…
Postado há 4 dias·",Sem informacao
ANALISTA DE DADOS,"Barueri, SP",Vertem,"
Estamos montando uma seleção de talentos para revolucionar o mercado de Loyalty e o mercado de Data Science no Brasil.
Postado há 3 dias·",Sem informacao
ANALISTA DE DADOS,"São Paulo, SP",Centro de Excelência Votorantim BR,"
Buscamos por analistas de dados para integrar o time do Centro de Excelência Votorantim na área de Data Analytics.
Postado há 18 dias·",Sem informacao
ANALISTA DE DADOS - ESPECIALISTA QLIK SENSE OU POWER BI,Home office,DOJO Technology,"
Participação de lucros no final do ano.
Postado há 30+ dias·",Sem informacao
ANALISTA DE DADOS,"Itu, SP",Senior Sistemas,"
Experiência avançada em Power BI;
Conhecimento em processos de ETL (API, Json, SQL) voltado para Power BI;
Conhecimento em Ferramentas de ETL (Desejável Pentaho…
Postado há 11 dias·","4,0"
ANALISTA DE DADOS II,"Brasília, DF",Experian,"
Portanto, acreditamos que trabalhar conectados como um time único e em um ambiente dinâmico e desafiador é extremamente importante para o crescimento pessoal e…
Postado há 10 dias·","3,6"
ANALISTA DE DADOS JUNIOR,Home office in Brasil,Neon Pagamentos,"
Proficiência na extração de dados utilizando SQL.
No dia a dia de trabalho, o neowner vai trabalhar com grandes bases de dados para identificar padrões e…
Postado há 5 dias·","4,3"
ANALISTA DE DADOS JR.,"São Paulo, SP",Restoque,"
Na Restoque, acreditamos que o nosso time é quem gera o nosso sucesso!
Desejável ter experiência com o varejo;
Postado há 27 dias·","4,2"
ANALISTA DE DADOS JR,"Jaraguá do Sul, SC",Grupo Malwee,"
Pensar em melhorias para os processos já existentes na área, com base em dados coletados.
""O Grupo Malwee respeita e incentiva a diversidade e inclusão.
Postado há 30+ dias·","4,2"
ANALISTA DE DADOS E BUSINESS INTELLIGENCE (BI) PLENO (REMOTO...,"Home office in Vila Mariana, SP",Lean Saúde,"
Automatização da captura e extração de dados obtidos por fontes diversas (API, RPA/web scraping, SFTP, bancos de dados, planilhas, e-mail, etc.).
Postado há 12 dias·",Sem informacao
ANALISTA DE DADOS SÊNIOR,Home office,GRAFENO,"
Estamos constantemente desenvolvendo o time de dados da Grafeno, então você será responsável por otimizar o processo de apresentação dos dados de maneira que…
Postado há 30+ dias·",Sem informacao
ANALISTA DE DADOS PLENO | SQUAD CRO,Home office,Contabilizei,"
Conhecimento intermediário de bancos de dados relacional (SQL);
Reunir, modelar, interpretar e analisar dados; explicando as variações e tendências, agregando…
Postado há 30+ dias·","3,4"
ANALISTA DE DADOS,"Florianópolis, SC",Audaces,"
Na família Audaces temos um ambiente descontraído, com pessoas parceiras, amigas.
A Audaces é referência mundial em inovação tecnológica para a moda.
EmployerAtiva 14 dias atrás·",Sem informacao
ANALISTA DE DADOS SENIOR – ESTATÍSTICO,"São Paulo, SP",BBC Digital,"
Responsável por toda gestão de base de pré-aprovados;
Experiência avançada com ferramentas analíticas em de ponta: SAS, R, Phyton;
Postado há 7 dias·","4,2"
ANALISTA DE DADOS (T.I) - MACAÉ/RJ,Home office,Infotec Brasil,"
Desenvolvimento e atualização de queries SAP/BW para extração de dados;
Conhecimento avançado em Conceitos em Orientação a Objetos, HTML, SQL, Linguagem C#, .
Postado há 30+ dias·","4,2"
ANALISTA DE DADOS (PARA GROWTH),Home office,Cora Bank,"
Sabemos que empreendedorismo é, sobretudo, uma via de desenvolvimento econômico.
Experiência trabalhando com SQL rotineiramente;
Postado há 30+ dias·",Sem informacao
